Genus_species,Swimming,PC1,PC2
Arnoglossus_capensis,NonSwimming,-0.102956201,0.057342849
Monolene_asaedae,NonSwimming,-0.149473199,0.061160212
Hypsypops_rubicundus,Swimming,0.207090044,0.020659202
Dascyllus_aruanus,Swimming,0.037271649,-0.010975157
Dascyllus_marginatus,Swimming,0.246444276,0.014223344
Chromis_chromis,Swimming,0.175455851,0.051043441
Premnas_biaculeatus,Swimming,0.38403403,-0.021351725
Amphiprion_ocellaris,Swimming,0.433544871,0.013587252
Amphiprion_percula,Swimming,0.447340233,-0.037915075
Amphiprion_melanopus,Swimming,0.263245039,0.001424538
Amphiprion_clarkii,Swimming,0.29783145,0.022952083
Amphiprion_sebae,Swimming,0.299937289,-0.053176079
Symphysodon_aequifasciatus,NonSwimming,0.077154147,0.014023697
Tilapia_zillii,NonSwimming,-0.103605062,0.04804435
