Species,Fanning,Swimming,Depth,Oxygen,Temperature,PC1,PC2
Diodon_hystrix,0,1,26,205.2235081,27.14980941,-28.0175282,0.857528911
Leiostomus_xanthurus,0,1,60,220.799044,23.02329606,-11.94745029,-0.31636502
Argyrosomus_regius,0,1,157.5,237.7639532,19.56349258,5.364681745,-0.578029947
Prognathodes_aculeatus,0,0,50.5,202.848166,27.52582789,-30.42143217,0.7876311
Lepomis_macrochirus,1,0,,,,,
Micropterus_salmoides,1,1,7,,,,
Echiichthys_vipera,0,0,,,,,
Notothenia_coriiceps,0,1,275,,,,
Gasterosteus_aculeatus,1,1,50,317.0893877,7.620427834,85.53032431,2.359844384
Spinachia_spinachia,1,1,,310.4431135,8.503010424,78.83549496,1.997666748
Aphanopus_carbo,0,0,1250,,,,
Sarda_sarda,0,0,140,235.0045785,19.9353563,2.584142384,-0.723054853
Thunnus_albacares,0,0,25.5,212.8538678,25.02770116,-20.12629332,0.183626465
Euthynnus_affinis,0,0,0,203.7063066,27.58287049,-29.5886561,1.002440695
Katsuwonus_pelamis,0,0,30,,,,
Scomber_scombrus,0,0,500,265.0345917,14.3495912,33.12916002,-0.657009456
Scomber_australasicus,0,0,143.5,222.8276511,22.69619547,-9.893346062,-0.262537851
Scomber_japonicus,0,0,0,235.3552204,19.84315989,2.945787887,-0.748792966
Fistularia_commersonii,0,0,66,203.5055502,27.62932645,-29.79454146,1.010955905
Aulostomus_chinensis,0,0,62.5,203.4341523,27.64128773,-29.86691977,1.009502484
Macroramphosus_gracilis,0,0,275,,,,
Clevelandia_ios,0,1,1,,,,
Glossogobius_callidus,1,1,,,,,
Eviota_prasina,1,1,32.5,201.895684,28.13654525,-31.47045341,1.211602918
Gobiusculus_flavescens,1,1,0,293.9714652,11.04924787,62.17711488,1.452784973
Pomatoschistus_minutus,1,1,102,290.1615891,11.50542991,58.34860785,1.196285676
Pomatoschistus_microps,1,1,6,288.9139413,11.70937418,57.08476645,1.165901365
Knipowitschia_punctatissima,1,1,,,,,
Amblygobius_phalaena,1,1,52,,,,
Valenciennea_muralis,1,1,,,,,
Valenciennea_longipinnis,1,1,16,,,,
Neogobius_melanostomus,1,1,15,,,,
Padogobius_bonelli,1,1,,,,,
Zosterisessor_ophiocephalus,1,1,30,245.2063451,18.34454095,12.90411394,-0.399137787
Neogobius_fluviatilis,1,1,,,,,
Coryphaena_hippurus,0,0,2.5,211.6415174,25.32187227,-21.37213807,0.24844147
Oligoplites_saurus,0,0,25,209.5285061,26.18204999,-23.60780616,0.702875908
Elagatis_bipinnulata,0,0,75,,,,
Naucrates_ductor,0,0,150,214.931115,24.98638962,-18.07725803,0.527307988
Seriola_zonata,0,0,181.5,215.5523251,24.66326956,-17.40699479,0.324685804
Pseudocaranx_dentex,0,0,24,218.3903181,23.48302798,-14.39964839,-0.310170159
Decapterus_punctatus,0,0,50,210.4477105,25.68162917,-22.61189243,0.381140672
Trachurus_novaezelandiae,0,0,261,236.1333035,19.05369712,3.856487413,-1.380687852
Trachurus_declivis,0,0,43.5,246.638701,16.91603665,14.57601257,-1.538006934
Trachurus_lathami,0,0,115,216.0269732,24.81876822,-16.96930581,0.565307926
Trachurus_picturatus,0,0,337.5,229.5704744,19.91326917,-2.752080318,-1.750041943
Alectis_ciliaris,0,0,30,208.7328375,26.0761082,-24.37014243,0.451568145
Selene_peruviana,0,0,25,216.7172055,23.82162531,-16.10652098,-0.286934381
Hemicaranx_amblyrhynchus,0,0,50,207.9267287,26.47460909,-25.23605799,0.694064742
Chloroscombrus_orqueta,0,0,,216.6816962,23.90912784,-16.15760489,-0.207511226
Carangoides_bartholomaei,0,0,25,,,,
Caranx_caballus,0,0,51.5,215.6597493,24.80535586,-17.32771002,0.484192545
Sphyraena_barracuda,0,0,50.5,204.3006862,27.45541286,-28.98095679,0.987140205
Psettodes_erumei,0,0,0.5,,,,
Citharus_linguatula,0,0,300,223.4372028,21.69229537,-9.108599199,-1.13634621
Scophthalmus_rhombus,0,0,27.5,,,,
Zeugopterus_regius,0,0,95,,,,
Xystreurys_liolepis,0,0,42,231.7667354,20.52642404,-0.707158381,-0.741173494
Citharichthys_fragilis,0,0,182.5,236.9504857,19.31401514,4.611407145,-0.973688567
Paralichthys_dentatus,0,0,96.5,241.969285,17.88966257,9.807077293,-1.445004137
Paralichthys_olivaceus,0,0,105,,,,
Citharichthys_arctifrons,0,0,206,228.9726148,21.1291912,-3.564559855,-0.665708283
Etropus_microstomus,0,0,91,,,,
Pleuronichthys_coenosus,0,0,184,,,,
Lyopsetta_exilis,0,0,412.5,276.0721494,12.23299618,44.36776303,-0.695179799
Eopsetta_grigorjewi,0,0,692.5,,,,
Hippoglossus_hippoglossus,0,0,1025,,,,
Glyptocephalus_zachirus,0,0,450,,,,
Glyptocephalus_cynoglossus,0,0,794,,,,
Microstomus_kitt,0,0,105,,,,
Hippoglossoides_platessoides,0,0,1505,,,,
Hippoglossoides_elassodon,0,0,525,,,,
Pseudopleuronectes_americanus,0,0,74,,,,
Parophrys_vetulus,0,0,275,,,,
Lepidopsetta_mochigarei,0,0,,,,,
Limanda_proboscidea,0,0,80,,,,
Platichthys_flesus,0,0,50.5,284.6624291,12.15426145,52.82433566,0.816601854
Pleuronectes_platessa,0,0,100,293.5565808,10.30717826,61.90667064,0.646772389
Achirus_mazatlanus,0,0,35,212.3634439,25.91392761,-20.77219957,0.963830308
Zebrias_zebra,0,0,22.5,,,,
Austroglossus_microlepis,0,0,250,237.3697654,17.9929002,5.267849306,-2.194435814
Dicologlossa_cuneata,0,0,235,225.1115056,21.69842678,-7.464329994,-0.820583259
Pegusa_nasuta,0,0,,,,,
Pegusa_lascaris,0,0,177.5,236.7007861,19.47037553,4.337091622,-0.866220173
Pegusa_impar,0,0,42.5,,,,
Rhombosolea_plebeia,0,0,61,258.8274452,14.96345382,26.9155906,-1.202032463
Syacium_papillosum,0,0,75,207.4462553,26.59136516,-25.72983745,0.719920445
Syacium_ovale,0,0,35,209.0633585,26.46933742,-24.11807177,0.899154707
Syacium_micrurum,0,0,412,205.7723356,27.02594848,-27.45526011,0.837336137
Cyclopsetta_panamensis,0,0,25,210.0984658,25.32220578,-22.88861751,-0.036687354
Engyophrys_sanctilaurentii,0,0,139,216.0233372,24.67129141,-16.9455966,0.419703999
Arnoglossus_capensis,0,0,100.5,217.8678247,23.39505053,-14.89684792,-0.493287654
Monolene_asaedae,0,0,110,,,,
Hypsypops_rubicundus,1,1,15,240.6277821,18.4747297,8.380495016,-1.118206671
Dascyllus_aruanus,1,1,10,,,,
Dascyllus_marginatus,1,1,8,,,,
Chromis_chromis,1,1,21,228.3949764,21.28510114,-4.161070457,-0.619349548
Premnas_biaculeatus,1,1,8.5,,,,
Amphiprion_ocellaris,1,1,3,,,,
Amphiprion_percula,1,1,3,199.974933,28.70602482,-33.46340205,1.415923966
Amphiprion_melanopus,1,1,9.5,200.5681028,28.47829174,-32.83834122,1.301855024
Amphiprion_clarkii,1,1,0.5,,,,
Amphiprion_sebae,1,1,13.5,,,,
Symphysodon_aequifasciatus,1,0,,,,,
Tilapia_zillii,1,0,,,,,
