Species,Fanning,Swimming,TemperatureMean,TemperatureSD,OxygenMean,OxygenSD,Temperature1,Temperature2,Temperature3,Temperature4,Temperature5,Temperature6,Temperature7,Temperature8,Temperature9,Temperature10,Oxygen1,Oxygen2,Oxygen3,Oxygen4,Oxygen5,Oxygen6,Oxygen7,Oxygen8,Oxygen9,Oxygen10
Callionymus_sagitta,0,N/A,27.21813367,4.403429314,210.367961,20.41143716,28.76373711,30.34728421,25.26453625,37.44683854,28.17483412,29.63304401,33.42915846,27.94565926,31.3942091,25.17816886,221.0208,224.1083327,224.1651869,204.2151932,191.5570929,226.6908448,191.3414295,167.5046766,165.2407223,222.5776438
Calotomus_japonicus,0,N/A,21.48026325,3.040548901,225.9635829,14.90019913,20.58332211,21.70315557,14.36966893,20.311684,23.96718672,20.1906962,22.97273791,30.60859555,21.32220885,23.26355881,220.9454175,240.9535801,237.0165503,230.6883631,238.3782616,209.9855225,244.5844075,226.2463586,226.2742257,218.3171333
Caranx_caballus,0,0,24.99494726,4.176204732,218.1881318,15.91149582,19.37113303,29.13778231,20.65678015,24.76261557,25.75057564,29.91178365,27.46615664,27.8690279,25.08606526,33.82764388,201.7550352,189.9921278,214.1927197,214.2108027,237.0593474,227.0641819,253.4128995,229.7794675,222.7384063,211.6533742
Carapus_dubius,0,N/A,26.68092879,1.826551756,210.8342046,4.102377117,27.3030548,24.39636285,26.51139207,27.60718448,30.04387772,25.3220614,26.8870647,28.07723256,28.90027597,27.24916777,205.3793974,204.3125425,203.0636866,208.6638739,214.1168918,217.994496,208.6123673,216.1944,213.8470724,214.5786612
Caulolatilus_microps,0,N/A,24.57740826,2.18162466,215.7567915,8.656767487,29.89299889,24.4646739,28.41520668,26.14157687,24.03443057,22.08506971,24.33318169,24.82671313,26.31644153,19.39748605,205.7538807,207.6772768,210.3401674,212.7438949,207.224564,201.9308033,224.0395931,211.2784256,220.1186563,223.2822196
Chelidonichthys_lucerna,0,N/A,17.44020388,4.920952549,247.5328694,25.70805933,18.78601601,17.05419765,12.96066863,13.80207477,17.9414119,13.42456994,13.01868923,13.5710573,19.77752098,9.341286272,286.098571,269.3434642,299.120577,296.9797872,251.9868085,230.331101,269.7996537,216.5085546,310.5425987,249.2175522
Cherublemma_emmelas,0,0,24.77758634,3.84837016,217.635943,12.93022322,20.80641737,24.05713864,21.36046414,17.39037179,22.01897637,27.60024429,27.43023424,23.64594175,20.05486207,18.37929976,227.9073319,207.3910463,202.4526814,234.7864079,245.4556957,211.2804777,202.3148479,217.1022786,230.0569993,221.0851813
Chilomycterus_schoepfii,0,1,25.63030294,5.099897719,215.9203464,26.01920025,21.71693253,28.27838805,28.02777758,24.25517942,34.0570189,13.71680243,25.45305737,21.45177356,29.16855686,37.79062237,242.4049221,223.3414368,182.4333592,235.1866655,180.3714197,201.440662,194.4613478,264.5764753,158.7821626,188.9226269
Chloroscombrus_orqueta,0,0,24.09053762,4.447340071,218.4620643,16.27441386,21.54298303,23.32173269,20.17814967,23.87412735,27.32861768,25.98201063,23.08365656,22.6754985,29.6320476,22.18209047,199.9986332,216.0229802,220.1649366,210.652904,225.129709,220.6944118,212.5476409,240.2334543,198.2875632,223.8339589
Chromis_chromis,1,1,21.38637618,3.394555241,229.252507,16.87488715,25.15694383,22.71301118,22.2778708,15.17215213,23.48678253,18.19619705,23.56641054,21.55241077,24.08639381,22.34970365,261.4886197,241.7995546,228.9860947,214.0577563,264.4348449,244.4299639,265.6781264,195.7742047,218.0562699,215.2916137
Chromis_dispilus,1,N/A,19.14443944,1.341729541,233.9241962,4.097150867,19.14758167,20.92394307,20.22764297,18.85237579,19.75086368,19.38302496,19.84870854,16.73986179,20.95858892,20.92984008,231.8386262,233.8375398,232.4280872,237.3448187,239.8553786,230.66157,234.0064077,235.331312,225.5763646,240.3565185
Ciliata_mustela,0,0,10.68641845,2.372132689,282.819424,13.4175988,9.591439502,7.451040652,10.67585238,7.547357407,13.0859755,12.46419701,7.23096864,13.80408021,17.10922793,12.50459965,279.4332818,292.9277252,292.4935992,288.8088945,277.4824724,286.0731695,267.4080103,282.8103452,254.7091445,282.3488895
Citharichthys_arctifrons,0,0,20.43524757,5.810878965,231.6897706,25.20912247,17.7441177,22.30493709,16.13454451,27.07903904,23.95224452,25.62720006,20.28424447,18.70055423,24.18143842,17.09629004,225.3807228,232.6927514,219.8275606,224.8535858,231.4282045,204.6793586,249.6178905,212.6990846,278.9931449,231.8835729
Citharichthys_fragilis,0,0,21.16307962,3.30464097,229.9994585,17.82758836,23.68472775,25.0126942,22.44195515,24.75818619,27.39327043,19.17323432,23.01162956,22.7792046,19.4161413,20.10736817,229.9012159,209.3098782,225.329478,220.0152132,210.8948832,222.3258317,236.9831281,226.5875649,251.4141373,244.1745208
Citharus_linguatula,0,0,21.76651257,3.072727191,224.7379557,10.66921888,20.28571393,21.56651991,16.96206346,15.29803152,25.12950719,19.72499056,23.98225729,21.12338867,28.70564554,24.91520756,212.6575696,239.0116496,217.494439,222.7925198,216.6017775,244.0699836,204.9892158,219.7056017,251.5192892,225.2144003
Clevelandia_ios,0,1,15.1958082,3.598139733,260.9580966,21.07268823,20.91485456,13.8081676,18.75066378,15.18412911,16.74268464,17.02085168,11.49098734,23.42820102,12.13006692,15.40251483,271.4700005,251.1483288,266.6385791,255.2581501,276.0284498,295.9715908,284.5681106,231.1880134,264.919324,265.8413642
Coryphaena_hippurus,0,0,25.56021586,3.161517938,212.0805463,11.39910584,22.70427739,24.659285,23.60203613,21.64454773,26.12262405,24.87828713,25.60749269,27.87268215,23.72488484,30.96685024,219.6647583,211.1219359,217.8310218,215.4075709,203.6372093,213.8223818,207.1198351,203.8007998,218.7375653,209.0995201
Cottus_hangiongensis,1,N/A,12.06152083,3.535630689,273.3513689,29.6372355,11.04105474,9.872060574,14.3700595,14.89309579,10.53590745,6.858919245,13.26084713,15.83545855,16.63072073,10.31439417,242.2469645,284.2584391,290.2039093,254.0904125,272.6233042,293.1310078,308.0518324,263.4042026,265.1425969,283.5210623
Ctenolabrus_rupestris,0,N/A,15.73666004,4.424878668,261.3011676,35.13621049,23.24703373,17.49071287,10.28281661,13.39137788,16.4796176,10.78156696,10.41806671,16.39304965,24.86026263,24.51232172,317.755073,234.5981193,294.4788365,215.3920209,288.4504627,205.0662073,253.9317237,297.980032,269.5594841,237.7222796
Cyclopsetta_panamensis,0,0,25.49054342,3.572750909,211.9959818,8.214504835,19.26624472,22.72826924,23.33407948,25.58543145,24.47650303,27.20606097,24.35791877,22.8119285,23.74123865,28.44311574,207.1067884,194.9704936,208.8458296,224.8945102,208.4435478,219.2564839,209.6723938,191.732729,217.690863,231.1984683
Cyclothone_microdon,0,N/A,16.09924738,9.887133966,257.996751,50.41117468,20.15466085,33.86451531,10.26398247,29.71112887,28.00011731,18.46728865,7.466476486,32.91731896,16.25699587,14.96937929,273.0263333,342.0978111,252.2956217,290.5472993,258.7857562,237.9340725,305.6635349,244.7727207,282.6422599,248.6032673
Cypselurus_comatus,0,N/A,27.65663768,0.701458928,204.1599955,3.06392027,28.32324836,26.64907159,27.09771416,27.38946244,27.37515315,27.51588482,26.48593242,28.11733282,27.97994461,27.63615372,206.8454796,202.1870562,199.5399101,207.2200671,202.9264557,205.1633835,203.0347549,203.4837955,200.3603891,200.6653474
Dascyllus_aruanus,1,1,28.33398439,1.343831054,202.6911274,3.729183002,28.88193155,28.64134245,28.25215935,28.69437313,29.10188005,29.7196016,30.70025314,28.50241908,27.84106032,28.3099944,199.5007007,207.6786468,202.294594,199.2158504,206.0996161,209.6707679,203.9970759,196.8687643,205.3099637,203.6554388
Dascyllus_marginatus,1,1,27.92185614,1.311922249,200.5039168,4.667566937,26.59976497,27.82569247,28.19640809,27.45845505,29.64859657,29.41580462,27.43911256,29.20762344,27.17783596,28.46916874,211.8269424,201.9283302,204.2238622,194.7603856,201.8423633,195.7452035,195.518456,202.7195338,195.5150067,190.1266702
Decapterus_punctatus,0,0,25.97382485,3.470089516,210.6039173,13.05233786,23.12561168,33.58966845,25.50790619,26.98456847,23.38381459,24.99300477,28.14091018,29.80686118,30.29032581,21.49983272,199.044244,197.4697753,190.3043434,206.9053906,218.8165511,223.6291925,216.9118949,196.4039452,193.4296259,207.2691916
Dicologlossa_cuneata,0,0,21.28843076,4.21075592,228.3194906,15.85766984,20.89188763,28.2917158,18.1556951,22.15827597,18.23108835,22.05393985,20.0844408,15.02435725,19.95808324,25.60239679,237.48155,260.3733548,214.6028073,231.0848677,254.4967569,221.1943908,237.7963173,231.4739279,271.6595757,249.6638027
Diodon_holocanthus,0,1,27.52778021,2.375592706,205.6347122,8.846248212,30.02371005,25.60852429,26.22004214,27.2077072,25.30715951,33.2788039,24.88019857,29.58389067,30.59097891,32.23330233,196.8003365,206.2340242,201.2631125,192.2185687,203.5320742,199.3360456,195.1592566,208.9130271,196.8034361,207.317655
Diodon_hystrix,0,1,27.5343199,2.444200665,205.4546431,8.898880062,31.64122599,27.28621785,26.215514,26.84905462,23.3428324,22.98130359,28.60318353,27.90638002,27.51480981,31.64446928,213.3852176,200.9063344,196.1689697,220.0053018,214.5474844,209.7475298,197.2819096,216.7304889,217.6979035,210.7279675
Diplospinus_multistriatus,0,N/A,25.63078368,3.245225757,211.9573357,11.97817551,28.14655921,26.13023651,21.82090661,24.83659737,26.90795746,28.7623742,25.48973959,24.85610092,24.40204025,28.81036681,202.8022487,220.6776233,217.0867896,221.8559731,193.7379681,218.5892001,209.0981975,210.2159324,220.737485,187.2242625
Elops_affinis,0,N/A,24.01541303,4.469835594,218.6378675,16.41782903,22.07356355,23.68581044,30.80354657,26.51415702,25.53676862,21.9864395,12.18102594,27.09909363,23.30333414,23.08080523,235.9385627,225.3826408,209.5682718,217.2193649,216.5126229,246.9739284,236.1805767,229.6388511,218.055539,243.3447799
Engraulis_encrasicolus,0,0,18.52185658,5.936713354,246.0329535,35.63762169,16.53638057,16.08831592,22.57206605,21.1482263,14.23979874,16.56755899,18.64825573,13.47039684,20.8069782,32.65411061,232.5439353,283.66707,241.6667816,282.373642,242.4479893,224.2213374,199.5173748,212.5495778,297.3205356,218.127166
Engyophrys_sanctilaurentii,0,0,24.92285601,4.364032562,218.4654483,16.6116144,21.71505885,19.57017723,28.30544746,26.30189565,27.75562295,31.40043122,23.42505277,22.99470863,23.90200994,22.96158322,229.965842,194.280051,195.9979349,228.98366,233.9534169,248.7617518,210.7311068,206.3745924,209.6222401,201.7810657
Eopsetta_grigorjewi,0,0,13.02834728,5.135240209,272.0134907,33.9486325,20.35055651,14.72781336,-2.058288751,8.139693034,18.13115479,21.77588901,16.44769811,7.013223257,11.40116777,13.68383235,258.7464326,300.9393902,286.4241564,290.0508734,264.3061866,337.6956849,310.7770603,268.5914619,272.7606136,291.1032829
Etropus_microstomus,0,0,16.78214543,3.965771788,243.6306783,21.70999023,19.52654034,13.75875402,12.79515626,16.65422046,16.83373081,23.51376899,7.41839937,17.56828451,19.32432443,11.74781137,267.8943158,227.5313557,244.6614715,256.4200056,229.8030131,256.2127708,237.8130434,237.2431339,279.1417441,265.7899033
Euthynnus_affinis,0,0,27.87676742,1.948693523,204.1167833,6.143945868,28.87856045,30.02231539,25.22908856,30.70928297,27.05772346,27.35115393,30.1455506,25.67621746,30.3414965,26.73626716,195.7742278,210.9475476,198.7255619,218.0766577,199.1349759,204.5064476,211.1445633,206.5275505,195.1020914,204.6516618
Eviota_prasina,1,1,28.50336918,1.274923409,202.3874847,3.701795432,24.52470971,27.19456185,30.64276186,28.31629065,27.99997826,29.50165215,27.87461409,28.41415002,28.3758285,28.36137342,197.8785105,207.0350759,206.793715,202.4475559,200.3688304,202.6374448,210.0475471,204.7869113,208.9547503,203.6159546
Fistularia_commersonii,0,0,27.97990748,1.774484649,203.9886566,5.468589782,29.48810664,24.76797684,26.74828527,27.24675094,26.55105824,27.6281278,28.1598386,26.31197177,30.2428324,31.8336961,207.7131576,202.8894967,199.7735295,212.8426907,200.2144873,203.3419783,198.5234088,207.5590835,204.3600835,200.0361016
Forsterygion_capito,1,N/A,14.07774384,3.244844545,263.9147594,20.32291148,20.04499224,10.71715648,17.90697158,13.27357031,5.006127717,15.69908523,17.65660593,15.17698427,18.03977669,9.762940349,260.2932173,241.1302448,257.9256191,253.4599846,279.5239993,310.595108,279.8431106,263.4530253,233.1559891,257.0447739
Gasterosteus_aculeatus,1,1,8.710162574,5.879189902,307.1478275,42.49150264,3.775635959,9.670598365,3.769909759,0.740301389,11.22647925,1.495618588,16.91180912,19.93992187,12.02182476,7.351031866,347.8919956,302.176678,289.7778627,278.7438628,293.7730924,364.5562789,340.1118053,303.1481513,320.9862994,333.4070148
Gasterosteus_wheatlandi,1,N/A,7.839340565,2.638407624,311.7267741,24.15760709,7.496632269,9.593894457,8.555737402,8.117684615,11.302585,8.941749462,6.538332436,8.544111792,6.268702338,6.666529706,330.4241626,342.1115495,318.1027504,342.8022366,294.4022966,310.1190412,297.9862767,330.4096509,294.2521461,267.6480021
Gempylus_serpens,0,N/A,23.59626047,5.137439855,220.4688977,21.81832461,27.37199356,20.18076755,23.19764365,20.44564905,33.102417,25.33426078,14.34698538,22.25093643,25.55359913,21.56682782,253.5096101,230.4776617,222.6361075,236.6899935,207.5657736,195.2939114,211.2902508,172.9320646,208.5548666,226.3007722
Genypterus_blacodes,0,0,12.13984257,4.016760859,274.0864533,23.2847066,11.04504808,15.77919029,14.28787212,6.488938071,10.42303568,9.642561055,12.06943727,14.45836801,11.52719731,19.62456701,264.8110009,271.2084887,305.0208458,294.0622488,282.7064457,258.8341057,267.3706883,282.7673528,283.064802,312.5378702
Girella_nigricans,0,N/A,18.05973015,3.490326088,244.5812148,18.41423662,21.35451595,17.71332362,18.30243027,19.26503322,22.93449329,15.50203907,18.07983716,22.15673896,24.55891039,19.49377806,231.5896058,243.4079495,222.3937527,254.2478041,253.6946092,283.9233007,223.6618627,252.0178995,250.6577364,251.5195252
Glyptocephalus_cynoglossus,0,0,8.958246802,3.515153372,295.0148438,24.88184157,14.59973796,11.26740307,7.251541771,11.22353103,6.323821319,10.60481525,6.727191568,13.16770478,6.175295795,5.434328928,315.1097272,308.6872445,279.3729619,247.41675,327.0831138,299.1766614,257.7771086,333.1143694,282.3926698,272.2613186
Glyptocephalus_zachirus,0,0,6.344889358,3.394951973,316.8829338,23.31442469,4.812870078,5.002029896,1.802533276,4.864771297,15.24842961,13.55894979,3.676681372,9.235563046,9.5706805,-2.440259778,331.2458225,293.7337987,263.6686339,340.995839,354.8164323,328.7215207,307.6254227,342.740036,307.4324508,279.9013557
Gobiesox_strumosus,1,N/A,25.11448948,3.063587625,212.7692184,11.83337695,23.13562259,22.39485234,24.10286269,24.85778981,21.07385123,24.43034485,34.80918824,27.17976369,26.7481183,20.78449582,223.7294878,226.9525499,194.6852382,223.5550558,229.9223868,215.9836576,213.9286752,198.455724,214.4095604,219.8453583
Gobiusculus_flavescens,1,1,10.99810805,2.648997139,297.3465727,37.9895966,12.71272201,13.42403336,10.23034373,11.60060049,10.50853487,13.60339322,10.97854274,9.550295634,11.7086881,8.661200862,298.1553759,326.07691,319.3168825,303.6468799,273.1773286,262.9215849,292.2588883,367.5911345,346.0220183,259.7704267
Harengula_thrissina,0,N/A,24.01541303,4.469835594,218.6378675,16.41782903,28.25693355,19.67288243,18.41995736,20.40685338,21.8832848,22.74170138,25.19797339,22.7964256,22.04311288,24.77428241,206.7430195,224.6733427,240.4660099,230.7085279,240.9254343,194.5179816,185.4038009,212.1451192,211.3851537,192.1401774
Harpagifer_bispinis,1,N/A,7.889603629,1.178978357,298.9152669,8.296087361,7.795259059,7.179368013,7.236158629,6.144433003,9.315413502,9.870666461,7.176524056,7.609948796,9.651756101,7.051124675,298.4278004,297.116171,304.2248262,301.7855219,307.8676525,303.1088428,295.1365809,288.5972075,300.7587082,293.1170076
Hemicaranx_amblyrhynchus,0,0,26.5026156,1.827789458,208.9427776,7.933950387,28.05158768,28.87600272,25.77608401,26.75981435,24.94961938,26.78524243,25.48092977,25.26804611,27.58229315,27.35377484,209.7098026,210.319106,227.3841195,209.8547045,202.3349895,213.5943829,217.9445125,212.9543562,198.8548732,232.7976764
Hemiramphus_balao,0,N/A,26.68367287,1.982792432,207.4711127,7.255952307,26.96159608,27.82918305,27.70022193,27.57215097,27.51566473,25.10223185,28.88565438,27.16932858,26.31600019,25.57072415,207.7147049,203.5492959,201.0387368,205.6243729,202.6796252,201.6179137,203.1187247,213.6785846,204.2765766,206.0452079
Hemiramphus_brasiliensis,0,N/A,26.91730723,2.289492997,207.170137,9.254446695,27.78235852,26.8165041,26.60037589,27.77183416,27.84773467,20.51670982,27.86726277,27.41799906,27.89578564,25.75434989,210.6898135,203.8935186,208.9581402,213.5274605,197.7996737,209.6572534,196.376407,208.5759269,184.4674832,203.2731753
Hippoglossoides_elassodon,0,0,5.811598315,2.650505156,319.9230713,20.36271633,6.31802204,7.216717423,4.22251666,3.104191928,7.001777821,3.222498713,3.029010735,6.990999768,8.103628738,11.32637394,328.4980889,326.2646209,326.5136706,313.2398692,283.0925923,312.2717271,320.4202225,318.0272442,334.3468533,323.8720574
Hippoglossoides_platessoides,0,0,4.346820525,4.811599795,327.2663222,36.17830919,10.06608828,1.634379568,5.879526086,8.102747145,9.507015802,5.885007484,6.371938925,-4.635319772,-1.055272876,-3.052354455,350.4767756,345.7587807,317.0553212,372.4455993,339.220495,315.6256404,304.5380152,333.711774,299.5380511,340.541608
Hippoglossus_hippoglossus,0,0,6.220434084,4.132031811,311.8586173,30.77550996,0.791439062,-2.005595977,3.368694517,-1.888883802,7.173878005,9.567880401,8.844776756,-0.454855305,-6.929522751,-0.660912217,318.1148236,313.7710156,302.5228439,307.5788704,268.0674801,298.0707742,318.4242195,344.0771762,342.4800027,327.735526
Hygophum_proximum,0,0,25.82087944,4.17940302,211.9508199,16.95226368,21.87341231,25.06566457,24.26763885,25.54439257,27.30054549,20.75077845,14.56917938,30.18456718,25.38527497,21.2767501,190.5330855,213.3132935,213.5105453,230.3307327,209.2131294,198.557313,202.4282331,245.9068422,229.7241163,248.364149
Hymenocephalus_italicus,0,0,24.53604024,3.79121438,215.2510836,13.168442,23.63439672,26.86596091,21.85344663,30.03336251,28.56296335,25.8050555,28.29040348,24.73213812,21.98759608,23.04007084,190.6847832,223.7115538,227.9447944,223.2195366,219.3835297,193.0390653,240.2067339,207.3929314,204.328699,217.8659385
Hypsypops_rubicundus,1,1,18.75173521,3.86843084,242.0025074,19.14332572,23.33702775,23.07589554,19.47811628,17.32786678,15.94413602,15.43220578,18.70648926,15.91183949,18.14219519,20.4989417,251.6022141,237.9986567,219.3961633,263.2336378,249.5525506,244.4137364,274.4317898,281.1338985,232.0760995,237.7227963
Istiophorus_platypterus,0,N/A,24.80124093,4.174840881,215.2859495,16.92466944,18.37477724,24.77190748,18.6543325,22.06917531,30.47862399,23.49791973,20.68650159,15.35473454,20.06011724,27.64951181,206.430481,210.0119483,201.235864,243.4242625,238.8604938,216.3253259,221.650274,202.8121688,206.7258791,217.8893361
Katsuwonus_pelamis,0,0,24.70874907,4.278159385,215.6906848,17.08644957,25.07503903,31.32910531,33.45266982,22.42944236,20.40021867,19.00921223,19.02516663,21.2904505,16.60799172,29.40623562,206.9680592,180.5067252,235.4808566,200.9571275,206.0757989,230.0339908,177.713544,195.5494195,201.7960185,195.3753635
Lactoria_diaphana,0,0,27.18963186,2.929406807,206.5653278,10.0206195,27.71172148,27.79230971,31.03198773,27.32977353,26.69447493,30.81499721,29.52843702,27.84956624,28.50127199,24.24740859,191.6211472,209.1469519,217.3504754,210.2873279,213.1695594,216.0953077,209.8456378,182.4940111,211.4397092,210.9808128
Lagodon_rhomboides,0,N/A,23.32987899,4.998957233,220.3383595,21.28945413,24.29561573,24.42292333,32.51440313,23.17824422,16.44624777,29.62104372,22.04335394,26.25141545,19.87233042,27.0179752,201.0954109,168.4374602,230.763654,226.5469437,182.9962545,223.0200054,221.5409303,279.3299851,225.7291086,217.0969239
Leiostomus_xanthurus,0,1,23.61211714,4.333006665,219.0137777,18.20559596,28.72141455,25.49999763,27.21456038,27.66800576,24.15670676,29.96739039,20.78904173,22.670177,15.41049261,23.92420291,217.4395505,226.5492467,227.3328651,218.8960723,226.4816355,187.1149905,215.8474546,228.8063757,206.4351909,233.336993
