Species,Fanning,Swimming,Depth,Oxygen,Temperature,PC1,PC2
Diodon_hystrix,0,1,26,205.2235081,27.14980941,-27.23709795,0.932696875
Tetraodon_cutcutia,1,,,,,,
Tetraodon_palembangensis,1,,,,,,
Monotrete_cochinchinensis,1,,,,,,
Tetraodon_turgidus,1,,,,,,
Acanthurus_nigroris,0,,45.5,210.8806144,25.22716622,-21.32400004,0.075561097
Leiostomus_xanthurus,0,1,60,220.799044,23.02329606,-11.16988775,-0.279816003
Argyrosomus_regius,0,1,157.5,237.7639532,19.56349258,6.141565415,-0.583087627
Miichthys_miiuy,0,,57.5,,,,
Caulolatilus_microps,0,,96,214.5813008,24.52880123,-17.55801042,0.064807017
Lagodon_rhomboides,0,,,220.0561937,23.20767439,-11.93391771,-0.234207228
Prognathodes_aculeatus,0,0,50.5,202.848166,27.52582789,-29.64116296,0.868576736
Ocyurus_chrysurus,0,,90,208.3386938,26.30505537,-24.02002626,0.671084417
Lutjanus_peru,0,,40,216.8237223,23.85894654,-15.23096643,-0.18424271
Lutjanus_russellii,0,,1.5,202.748126,27.97635474,-29.82180122,1.293255747
Uranoscopus_japonicus,0,,275,220.5077002,22.87786499,-11.42977109,-0.476009929
Ammodytes_tobianus,0,,48.5,294.6507845,10.40517587,63.74423771,0.802006352
Ammodytes_hexapterus,0,,137.5,,,,
Ammodytoides_gilli,0,,,206.4660825,27.65058079,-26.10687916,1.651980278
Acropoma_japonicum,0,,300,,,,
Girella_nigricans,0,,16,243.6800948,17.83191479,12.27444723,-1.205063241
Lepomis_cyanellus,1,,,,,,
Lepomis_macrochirus,1,0,,,,,
Lepomis_megalotis,1,,,,,,
Lepomis_gibbosus,1,,,,,,
Micropterus_dolomieu,1,,,,,,
Micropterus_salmoides,1,1,7,,,,
Echiichthys_vipera,0,0,,,,,
Etheostoma_nigrum,1,,,,,,
Etheostoma_radiosum,1,,,,,,
Etheostoma_crossopterum,1,,,,,,
Etheostoma_flabellare,1,,,,,,
Notothenia_coriiceps,0,1,275,,,,
Harpagifer_bispinis,1,,45,,,,
Paralabrax_clathratus,0,,31,241.9327564,18.11208608,10.5053285,-1.24872471
Platycephalus_indicus,0,,110,,,,
Scorpaena_scrofa,0,,260,230.8438549,20.1380205,-0.767073011,-1.282056805
Chelidonichthys_lucerna,0,,169,244.2688282,17.79841439,12.85939714,-1.130478404
Trigloporus_lastoviza,0,,,,,,
Lepidotrigla_microptera,0,,190,,,,
Lepidotrigla_papilio,0,,60,,,,
Gasterosteus_wheatlandi,1,,,,,,
Gasterosteus_aculeatus,1,1,50,317.0893877,7.620427834,86.31403726,2.16211055
Spinachia_spinachia,1,1,,310.4431135,8.503010424,79.61835679,1.816024108
Pungitius_pungitius,1,,,,,,
Xiphister_atropurpureus,1,,10,,,,
Xiphister_mucosus,1,,9,,,,
Ulvaria_subbifurcata,1,,,,,,
Cottus_hangiongensis,1,,,,,,
Cottus_gobio,1,,2,,,,
Cottus_bairdii,1,,,,,,
Enophrys_bison,1,,20,,,,
Myoxocephalus_quadricornis,1,,50,354.9324868,2.974423589,124.3691743,4.505622803
Myoxocephalus_scorpius,1,,225.5,,,,
Oligocottus_snyderi,0,,0,,,,
Diplospinus_multistriatus,0,,25,211.2763404,25.41372089,-20.96900058,0.331250549
Gempylus_serpens,0,,300,220.1800924,23.37300619,-11.84229777,-0.049028181
Aphanopus_carbo,0,0,1250,,,,
Sarda_sarda,0,0,140,235.0045785,19.9353563,3.360685536,-0.72142945
Thunnus_albacares,0,0,25.5,212.8538678,25.02770116,-19.34750548,0.239830821
Euthynnus_affinis,0,0,0,203.7063066,27.58287049,-28.80787303,1.081384242
Katsuwonus_pelamis,0,0,30,,,,
Scomber_scombrus,0,0,500,265.0345917,14.3495912,33.90577369,-0.728795211
Scomber_australasicus,0,0,143.5,222.8276511,22.69619547,-9.115660081,-0.230925761
Scomber_japonicus,0,0,0,235.3552204,19.84315989,3.722268136,-0.748036656
Nomeus_gronovii,0,,600,211.4252147,25.60739225,-20.85800083,0.548853874
Fistularia_commersonii,0,0,66,203.5055502,27.62932645,-29.01373732,1.090394245
Synchiropus_altivelis,0,,335,,,,
Callionymus_sagitta,0,,,208.6977221,27.25024002,-23.83965771,1.665942463
Aulostomus_chinensis,0,0,62.5,203.4341523,27.64128773,-29.08611892,1.08911478
Macroramphosus_gracilis,0,0,275,,,,
Odontobutis_obscura,1,,,,,,
Amblygobius_bynoensis,1,,,,,,
Rhinogobius_brunneus,1,,,,,,
Clevelandia_ios,0,1,1,,,,
Glossogobius_callidus,1,1,,,,,
Eviota_prasina,1,1,32.5,201.895684,28.13654525,-30.6891622,1.295068514
Gobiusculus_flavescens,1,1,0,293.9714652,11.04924787,62.95871527,1.311180152
Pomatoschistus_minutus,1,1,102,290.1615891,11.50542991,59.12960284,1.063882913
Pomatoschistus_microps,1,1,6,288.9139413,11.70937418,57.86569206,1.036536168
Knipowitschia_punctatissima,1,1,,,,,
Amblygobius_phalaena,1,1,52,,,,
Valenciennea_muralis,1,1,,,,,
Valenciennea_longipinnis,1,1,16,,,,
Neogobius_melanostomus,1,1,15,,,,
Padogobius_bonelli,1,1,,,,,
Zosterisessor_ophiocephalus,1,1,30,245.2063451,18.34454095,13.68140578,-0.422316026
Neogobius_fluviatilis,1,1,,,,,
Badis_badis,1,,,,,,
Istiophorus_platypterus,0,,0,215.1488711,24.51145804,-16.99681851,0.151412252
Coryphaena_hippurus,0,0,2.5,211.6415174,25.32187227,-20.59319086,0.307639864
Oligoplites_saurus,0,0,25,209.5285061,26.18204999,-22.82776032,0.767446126
Elagatis_bipinnulata,0,0,75,,,,
Naucrates_ductor,0,0,150,214.931115,24.98638962,-17.29765013,0.578586762
Seriola_zonata,0,0,181.5,215.5523251,24.66326956,-16.6278758,0.374354273
Pseudocaranx_dentex,0,0,24,218.3903181,23.48302798,-13.62206388,-0.267727621
Decapterus_punctatus,0,0,50,210.4477105,25.68162917,-21.83262271,0.44331827
Trachurus_novaezelandiae,0,0,261,236.1333035,19.05369712,4.631446355,-1.382118466
Trachurus_declivis,0,0,43.5,246.638701,16.91603665,15.35056246,-1.565200074
Trachurus_lathami,0,0,115,216.0269732,24.81876822,-16.18960977,0.613923771
Trachurus_picturatus,0,0,337.5,229.5704744,19.91326917,-1.977989984,-1.735588659
Alectis_ciliaris,0,0,30,208.7328375,26.0761082,-23.59069838,0.517971265
Selene_peruviana,0,0,25,216.7172055,23.82162531,-15.32887569,-0.240389665
Hemicaranx_amblyrhynchus,0,0,50,207.9267287,26.47460909,-24.45602863,0.762548277
Chloroscombrus_orqueta,0,0,,216.6816962,23.90912784,-15.37976857,-0.160843966
Carangoides_bartholomaei,0,0,25,,,,
Caranx_caballus,0,0,51.5,215.6597493,24.80535586,-16.5482079,0.533670003
Sphyraena_barracuda,0,0,50.5,204.3006862,27.45541286,-28.20021224,1.06462327
Psettodes_erumei,0,0,0.5,,,,
Citharus_linguatula,0,0,300,223.4372028,21.69229537,-8.33301557,-1.106617633
Scophthalmus_rhombus,0,0,27.5,,,,
Zeugopterus_regius,0,0,95,,,,
Xystreurys_liolepis,0,0,42,231.7667354,20.52642404,0.06935073,-0.731637827
Citharichthys_fragilis,0,0,182.5,236.9504857,19.31401514,5.387342076,-0.976934706
Paralichthys_dentatus,0,0,96.5,241.969285,17.88966257,10.58186447,-1.460736031
Paralichthys_olivaceus,0,0,105,,,,
Citharichthys_arctifrons,0,0,206,228.9726148,21.1291912,-2.78786112,-0.649305441
Etropus_microstomus,0,0,91,,,,
Pleuronichthys_coenosus,0,0,184,,,,
Lyopsetta_exilis,0,0,412.5,276.0721494,12.23299618,45.1442525,-0.793975961
Eopsetta_grigorjewi,0,0,692.5,,,,
Hippoglossus_hippoglossus,0,0,1025,,,,
Glyptocephalus_zachirus,0,0,450,,,,
Glyptocephalus_cynoglossus,0,0,794,,,,
Microstomus_kitt,0,0,105,,,,
Hippoglossoides_platessoides,0,0,1505,,,,
Hippoglossoides_elassodon,0,0,525,,,,
Pseudopleuronectes_americanus,0,0,74,,,,
Parophrys_vetulus,0,0,275,,,,
Lepidopsetta_mochigarei,0,0,,,,,
Limanda_proboscidea,0,0,80,,,,
Platichthys_flesus,0,0,50.5,284.6624291,12.15426145,53.60443408,0.697477056
Pleuronectes_platessa,0,0,100,293.5565808,10.30717826,62.68633467,0.505819873
Achirus_mazatlanus,0,0,35,212.3634439,25.91392761,-19.99153475,1.021584762
Zebrias_zebra,0,0,22.5,,,,
Austroglossus_microlepis,0,0,250,237.3697654,17.9929002,6.040848434,-2.199256101
Dicologlossa_cuneata,0,0,235,225.1115056,21.69842678,-6.687992218,-0.794807381
Pegusa_nasuta,0,0,,,,,
Pegusa_lascaris,0,0,177.5,236.7007861,19.47037553,5.113285632,-0.868807341
Pegusa_impar,0,0,42.5,,,,
Rhombosolea_plebeia,0,0,61,258.8274452,14.96345382,27.69091232,-1.25888314
Syacium_papillosum,0,0,75,207.4462553,26.59136516,-24.94974452,0.78959064
Syacium_ovale,0,0,35,209.0633585,26.46933742,-23.33755273,0.964950715
Syacium_micrurum,0,0,412,205.7723356,27.02594848,-26.67488001,0.911152821
Cyclopsetta_panamensis,0,0,25,210.0984658,25.32220578,-22.1103512,0.026156524
Engyophrys_sanctilaurentii,0,0,139,216.0233372,24.67129141,-16.16625057,0.468263283
Arnoglossus_capensis,0,0,100.5,217.8678247,23.39505053,-14.11970207,-0.449649633
Monolene_asaedae,0,0,110,,,,
Hypsypops_rubicundus,1,1,15,240.6277821,18.4747297,9.156071731,-1.130510905
Dascyllus_aruanus,1,1,10,,,,
Dascyllus_marginatus,1,1,8,,,,
Chromis_dispilus,1,,30,236.0129342,18.69295157,4.578985346,-1.758780068
Chromis_chromis,1,1,21,228.3949764,21.28510114,-3.384258582,-0.601513205
Premnas_biaculeatus,1,1,8.5,,,,
Amphiprion_ocellaris,1,1,3,,,,
Amphiprion_percula,1,1,3,199.974933,28.70602482,-32.68161403,1.504178765
Amphiprion_melanopus,1,1,9.5,200.5681028,28.47829174,-32.05682916,1.3886079
Amphiprion_clarkii,1,1,0.5,,,,
Amphiprion_sebae,1,1,13.5,,,,
Gobiesox_strumosus,1,,16.5,212.8560503,24.89835712,-19.32173728,0.113060779
Forsterygion_capito,1,,6,265.3532164,13.60614596,34.35481672,-1.401545445
Ruanoho_decemdigitatus,1,,3,259.6502327,14.66282902,28.55476541,-1.404184143
Parablennius_sanguinolentus,1,,0.5,239.021518,18.88672463,7.501579332,-1.0188011
Polycentrus_schomburgkii,1,,,,,,
Etroplus_maculatus,1,,,,,,
Bujurquina_vittata,1,,,,,,
Symphysodon_aequifasciatus,1,0,,,,,
Rocio_octofasciata,1,,,,,,
Archocentrus_multispinosus,1,,,,,,
Paraneetroplus_maculicauda,1,,,,,,
Hemichromis_bimaculatus,1,,,,,,
Tilapia_zillii,1,0,,,,,
Pelmatolapia_mariae,1,,,,,,
Tylosurus_acus_acus,0,,0,,,,
Strongylura_notata_notata,0,,0,,,,
Hemiramphus_balao,0,,5,207.6812415,26.38743151,-24.68146559,0.632002993
Hemiramphus_brasiliensis,0,,2.5,207.5707488,26.53507831,-24.81706504,0.756987012
Cypselurus_comatus,0,,0,203.6475972,27.59145616,-28.86716303,1.079103272
Adinia_xenica,0,,,,,,
Jordanella_floridae,1,,,,,,
